DATASET;INSTITUTION_NAME;INSTITUTION_CODE;COLLECTION_CODE;CATALOG_NUMBER;REG_ID;SPECIES_NAME;INSTITUTION_CODE_1;LATITUDE;LONGITUDE;GEO_PRECISION_LEVEL;GEOREFERENCING_COMMENTS;REGISTERED_BY;SACC;YEAR;MONTH;DAY;ORIGINAL_DATE;COUNTRY;DEPARTMENT;MUNICIPALITY;STANDARDIZD_LOCALITY;ORIGINAL_LOCALITY;ORIGINAL_ELEVATION;COMMENTS ON ID;MIGRATORY;RECORD_ID;SEX
Biomap;Darwin Museum;SDM;;2002;495440;Piranga rubra;SDM;4989846;-76417456;4;Coordenadas corresponden al Río Tamaná;Unknown;3174;1909;3;2;3/02/1909;Colombia;Chocó;San José del Palmar;Tamaná Río;Tamaná, rio;0;;1;SDM-2,002;Male
Biomap;Colegio San Jose;CSJ;;16;588776;Buteo swainsoni;CSJ;6038699;-75438766;5;Coordenadas corresponden a la cabecera municipal de La Ceja;Hno. Nicéforo, M.;393;1916;1;1;1/01/1916;Colombia;Antioquia;La Ceja;La Ceja ;La Ceja, area;Unknown;;1;-;Unknown
Biomap;Museum für Naturkunde;ZMB;;251955;645049;Setophaga ruticilla;ZMB;4674929;-7543312;3;Coordenada corregida por altura;Fassl, A.H.;3219;1909;9;15;9/15/1909;Colombia;Quindío;Salento;Quindío páramo de;Quindio, paramo de;3800;;1;-;Female
Biomap;Museum für Naturkunde;ZMB;;251956;645052;Setophaga ruticilla;ZMB;46666667;-7531666667;6;Rango de altura muy general, se registra según la coordenada y la localidad, Se completa PNN Los Nevados;Fassl, A.H.;3219;1909;9;24;9/24/1909;Colombia;Tolima;Anzoátegui;Tolima Nevado del, PNN Los Nevados;Tolima, nevado del;1400;;1;-;Male
Biomap;Museum für Naturkunde;ZMB;;25199;566899;Tyrannus savana;ZMB;3477336;-76479408;5;Coordenadas corresponden a la ciudad de Cali;Unknown;2397;1909;4;29;4/29/1909;Colombia;Valle del Cauca;Cali;Cali;Cali, area;957;;1;ZMB-25,199;Unknown
Biomap;Colegio San Jose;CSJ;;26;588684;Buteo platypterus;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;390;1918;1;1;1/01/1918;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Unknown
Biomap;Colegio San Jose;CSJ;;53;611548;Falco columbarius;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;1270;1912;1;1;1/01/1912;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Unknown
Biomap;Colegio San Jose;CSJ;;56;611549;Falco columbarius;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;1270;1915;1;1;1/01/1915;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Unknown
Biomap;Universidad de la Salle;US;;116;587751;Botaurus pinnatus;US;473333333;-7426666667;5;Coordenada corresponde al centro poblado;Unknown;295;1915;9;1;9/01/1915;Colombia;Cundinamarca;Madrid;Madrid;Madrid, area;Unknown;;NB;-;Unknown
Biomap;Colegio San Jose;CSJ;;169;591609;Cathartes aura;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;330;1913;1;1;1/01/1913;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Unknown
